CR_ID,MONTHS_BALANCE,STATUS
5067557,-16,0
5125600,-23,0
5149630,0,C
5033648,-34,0
5048282,-24,X
5117444,-58,0
5105754,-2,C
5089623,-21,0
5062030,-52,X
5089236,-35,0
5115451,-34,C
5053226,-16,C
5126248,-1,C
5066775,-20,C
5066919,-55,0
5143216,-10,0
5149630,-4,X
5132415,-16,0
5088945,-20,0
5045543,-8,C
5111072,-37,0
5132415,-18,0
5112928,-1,0
5045543,-13,0
5089552,-5,0
5045640,-11,C
5061700,-11,C
5066417,-12,0
5091548,-14,0
5033770,-38,X
5135951,-53,0
5065348,-43,C
5142240,-2,0
5089465,-33,0
5052899,-2,X
5145724,-26,C
5023534,-29,C
5112663,-2,C
5099948,-40,C
5061815,-3,C
5135778,-10,C
5096238,-1,C
5146063,-1,0
5010428,-25,0
5095370,-24,C
5118258,-33,0
5054399,-10,X
5112799,-2,0
5132291,-11,0
5054399,0,X
5105669,-14,X
5118258,-27,0
5089532,-11,C
5078817,0,C
5149271,-17,C
5068436,-5,X
5048045,-29,0
5118365,-5,C
5009573,-11,X
5048045,-27,C
5033869,-7,0
5113869,-7,C
5051125,-20,C
5010635,-39,0
5068037,-17,C
5054149,-4,0
5126303,0,C
5091256,-15,X
5118177,-4,0
5115591,-17,C
5033722,-45,0
5008810,-24,0
5090568,-42,C
5052727,-6,X
5090857,-15,C
5054362,-1,C
5067169,-26,0
5089942,-3,C
5023532,-2,0
5036567,-14,0
5137261,-15,C
5023398,-12,C
5045687,-12,0
5111072,-12,C
5050645,-29,C
5010315,-30,X
5099974,-22,C
5042143,-1,C
5029759,-38,0
5029457,-10,0
5047810,-21,C
5067726,-23,0
5118550,-16,0
5054475,-11,X
5088834,-44,0
5095790,-50,0
5142793,-30,0
5053226,-21,C
5029014,-13,0
5092022,-6,X
5036567,-11,0
5045139,-24,0
5132291,-13,0
5099974,-10,C
5096518,-8,C
5142304,-24,0
5142304,-18,0
5028494,-20,0
5091004,0,C
5105754,-1,C
5036485,-40,X
5054475,-13,X
5135636,-41,5
5090140,-1,C
5095570,-1,C
5117612,-2,X
5090270,-6,0
5096933,-32,C
5061700,-44,0
5143042,0,X
5069180,-16,0
5125214,-20,C
5029759,-42,0
5079167,-4,5
5062726,-6,0
5096163,-43,0
5061700,-1,C
5022193,-18,0
5069280,-4,0
5115451,-9,C
5125352,-10,C
5033927,-7,0
5096238,-31,C
5112654,-46,0
5126299,-40,1
5046497,-5,C
5090445,-17,C
5095383,0,C
5050645,-26,C
5137087,-12,0
5062726,-12,0
5029127,-9,C
5089942,-20,0
5117167,-24,C
5106047,-7,C
5079303,-2,0
5146407,-34,X
5149491,-22,C
5088998,-2,C
5136943,-12,C
5065693,-7,0
5116036,-12,5
5056028,0,0
5106058,-3,X
5009573,-19,X
5091589,-2,C
5118083,-7,C
5022610,-1,0
5105143,-15,C
5068057,-3,0
5067715,-2,0
5089630,-45,C
5096238,-14,C
5117799,-43,X
5089049,-30,0
5065348,-23,C
5046503,-19,0
5090152,-7,C
5065348,-48,0
5068261,-34,0
5112662,-7,C
5067021,-23,0
5010315,-7,X
5113781,-4,X
5042020,-2,1
5115957,-10,X
5117444,-52,0
5009877,-3,X
5091052,-6,X
5023130,-13,X
5042020,-6,0
5047933,-23,X
5079068,-15,C
5094967,-48,0
5126835,-24,X
5053374,-26,C
5033881,-6,C
5078817,-9,0
5126349,-16,0
5118550,-13,0
5089623,-9,0
5067557,-13,X
5021642,-16,0
5024579,-1,0
5143042,-15,0
5089421,-5,C
5053483,-49,X
5089104,-48,0
5046503,-5,C
5112663,-17,0
5029314,-5,C
5149271,-40,C
5066498,-8,C
5113114,-6,C
5095334,-44,0
5112932,-36,0
5099751,-47,0
5136021,-19,0
5089635,-39,0
5045640,-24,C
5096859,-22,0
5118258,-22,0
5089623,-3,0
5009570,-44,X
5069280,-25,0
5143581,-37,X
5135728,-3,0
5061148,-8,C
5088946,-13,0
5105143,-29,C
5047933,-28,0
5090140,-7,X
5024158,-29,0
5149272,0,C
5045624,-9,0
5089509,-7,C
5061700,-15,C
5105669,-8,X
5090152,-22,C
5068107,-5,C
5112928,0,0
5115591,-28,0
5126238,-25,C
5136021,-9,0
5048018,-27,0
5135728,-10,0
5113387,-19,C
5143595,-8,C
5024801,-33,X
5094967,-47,X
5116009,-6,C
5033740,-1,X
5113990,-35,X
5105143,-45,C
5117919,-6,0
5113387,-22,C
5094924,-3,C
5126064,-8,C
5149892,-34,0
5116397,-28,X
5113731,-12,0
5089268,-15,C
5132635,-22,0
5022506,-6,0
5105669,-49,X
5125352,-39,0
5085983,-1,0
5148996,-27,0
5024777,-39,1
5041221,-1,C
5118261,-51,0
5137251,-22,C
5047810,-20,C
5142807,-26,X
5061072,-12,0
5033539,-27,0
5068374,-42,0
5069080,-1,1
5105669,-10,X
5126835,-35,X
5085955,-49,0
5116036,-3,X
5068374,-27,0
5066785,-2,0
5010463,0,C
5150118,-34,X
5125737,-34,C
5116316,-22,X
5041625,-21,X
5126299,-7,C
5149892,-33,0
5066498,-45,0
5091004,-25,0
5033722,-20,0
5126299,-36,1
5068374,-23,0
5054149,-1,0
5089635,-38,0
5061700,-14,C
5142793,-8,C
5061707,-5,C
5142807,-36,X
5069397,-6,0
5054733,-21,0
5045689,-11,0
5067502,-4,C
5023534,-35,1
5022193,-28,0
5010635,-9,C
5112909,-53,0
5022545,-49,1
5089635,-25,0
5142987,-33,C
5105143,-44,C
5053705,-24,0
5046497,-36,0
5053362,-20,C
5066775,-11,C
5053362,-27,C
5062744,-3,0
5046234,-38,0
5054165,-33,0
5029314,-27,C
5062685,-18,X
5090030,-35,X
5117178,-15,X
5051125,-19,C
5022817,-8,X
5029633,-12,C
5090270,-18,0
5029314,-41,C
5079167,-6,5
5053005,0,0
5024777,-34,1
5065443,-28,0
5135691,-5,1
5125218,-4,C
5088998,-23,0
5024950,-21,X
5022193,-30,0
5135728,-14,0
5150118,-35,X
5126299,-16,C
5089509,-32,C
5125600,-14,C
5142793,-31,0
5117963,-12,1
5062504,-7,C
5021650,-2,C
5096163,-11,C
5023543,-20,0
5125737,-39,C
5010127,-2,C
5142987,-24,C
5142910,-4,C
5022506,-24,0
5149271,-16,C
5090140,-36,X
5116009,-16,0
5022193,-40,0
5091256,-28,X
5091042,-4,X
5048018,-23,C
5085955,-39,0
5023544,-14,X
5149109,-25,0
5116674,-52,0
5088834,-30,C
5113852,-18,0
5132415,-10,C
5029667,-44,C
5112662,-13,0
5062504,-19,C
5096518,-15,0
5142490,-6,C
5066919,-56,0
5022541,-6,0
5095228,-5,0
5061148,-55,X
5113987,-55,0
5146458,-28,X
5041221,-7,C
5022795,-10,C
5010428,-21,0
5125217,-1,C
5067502,-12,C
5036485,-8,X
5091548,-16,0
5021642,-12,0
5089532,-28,0
5024484,-9,C
5035995,-34,C
5113869,-52,0
5126299,-14,C
5142304,-17,0
5092380,-5,1
5142240,-9,1
5053374,-42,0
5142793,-17,C
5095937,-3,0
5126349,-29,0
5061148,-1,C
5114239,-6,0
5118418,-17,C
5089630,-52,0
5125214,-10,C
5105056,-8,C
5149210,-29,C
5135513,-27,C
5094868,-3,0
5099805,-12,0
5112651,-9,X
5062515,-4,C
5036986,-3,0
5037212,-17,C
5079167,-22,X
5126527,-49,C
5104853,-7,0
5143216,-7,0
5142987,-35,C
5091740,-19,C
5089000,-7,C
5024801,-12,X
5126323,-13,X
5149695,-4,C
5050479,-29,0
5092013,-25,0
5113010,0,0
5010127,-14,0
5067715,0,0
5056143,-17,X
5033881,-4,C
5095383,-16,C
5115501,-8,X
5115523,-32,C
5111072,-21,0
5149491,-15,C
5114592,-8,0
5086040,-2,X
5089470,-29,0
5112651,-7,X
5054149,-23,0
5095370,-25,C
5042295,-28,1
5142987,-25,C
5125218,-19,0
5118083,0,C
5116623,-39,X
5126248,-8,C
5067557,-5,0
5067726,-22,0
5054718,-22,C
5053374,-28,C
5117799,-16,C
5090030,-26,0
5091862,-32,X
5113869,-43,C
5022752,-39,0
5045014,-35,0
5137251,-11,C
5053362,-34,0
5068107,-9,C
5118218,-6,X
5036987,-13,X
5085781,-18,0
5126238,-30,C
5009573,-7,X
5054718,-16,C
5126299,-43,0
5126835,-12,X
5094967,-42,X
5099987,-12,C
5090857,-26,C
5117481,-9,0
5066498,-9,C
5036567,-2,0
5028639,0,0
5046497,-31,0
5010578,-25,X
5126731,-21,C
5089000,-9,C
5029314,-1,C
5010681,-2,0
5021701,-39,0
5079167,-15,2
5135728,-2,0
5125737,-37,C
5126064,-11,C
5056143,-19,X
5099948,-27,C
5089635,-29,0
5092380,-3,0
5054475,-28,0
5116674,-3,C
5136021,-15,0
5148996,-9,C
5132415,-22,0
5041363,-3,X
5050479,-2,C
5048045,-17,C
5135656,-5,1
5139548,-19,0
5058527,-35,0
5089635,-37,0
5088835,-7,0
5142984,-4,C
5010635,-14,C
5023280,-19,C
5135728,-17,0
5105669,-22,X
5135728,-29,0
5045695,-32,0
5051080,-9,0
5050645,-9,C
5024095,-11,C
5090568,-53,C
5023543,-7,C
5105056,-32,C
5009570,-20,X
5090468,-9,0
5010315,-22,X
5033869,-8,0
5046353,-43,X
5125352,-14,C
5112651,-16,0
5048045,-28,C
5135728,-5,0
5126248,-38,C
5126736,-6,0
5105402,-5,C
5022583,-39,C
5146584,-2,0
5069455,-17,0
5114077,-8,X
5096827,-5,C
5118365,-8,C
5021650,0,C
5118418,-34,1
5126382,-30,C
5115577,-6,C
5009570,-55,X
5029127,-26,C
5089104,-49,1
5089623,-18,0
5115577,-4,C
5125737,-23,C
5068037,-31,0
5113387,-36,0
5115523,-29,C
5029314,-25,C
5088949,-41,0
5054149,-30,0
5041363,-14,X
5028600,-13,X
5022193,-34,0
5051080,-2,1
5090030,-4,0
5044814,-31,0
5037212,-19,C
5022202,-14,C
5117799,-42,X
5113869,-9,C
5095570,-2,C
5096827,-17,C
5036816,0,0
5042295,-35,X
5022541,-1,0
5089236,-31,0
5023280,-2,C
5046351,-15,X
5046497,-29,0
5118146,-41,X
5089104,-19,C
5142490,-27,C
5068971,-43,0
5149892,-35,0
5028600,-38,0
5085781,-8,0
5136021,-22,0
5053226,-24,C
5065628,-42,X
5092272,-50,0
5022545,-51,X
5089623,-20,0
5089465,-14,C
5118418,-23,C
5115523,-38,0
5033770,-16,C
5096554,-17,0
5091589,-22,X
5112654,-10,C
5029127,-31,C
5068844,-12,X
5009935,-1,0
5126382,-33,0
5089635,-46,0
5092272,-58,0
5023544,-4,X
5065628,-35,X
5089909,-18,C
5067502,-18,0
5054149,-11,0
5068911,-7,C
5068911,-9,C
5095334,-25,C
5061700,-24,C
5089787,0,C
5115591,-14,C
5022752,-45,0
5118261,-42,0
5142807,-8,X
5142910,-7,0
5078905,-32,C
5117481,-16,0
5113387,-39,0
5149705,-49,0
5090152,-23,C
5054733,-15,0
5117963,-7,0
5023543,-13,0
5061692,-3,0
5029514,-33,0
5094967,-45,X
5126325,-20,C
5095334,-19,C
5068899,-32,C
5054290,-4,C
5024242,0,X
5010253,-25,X
5065628,-4,0
5089049,-24,0
5042300,-10,0
5143581,-22,X
5062030,-34,0
5112663,-19,0
5061072,-15,0
5091313,-2,X
5149695,-14,0
5145724,-24,C
5010681,-7,0
5056236,-35,0
5091589,-6,C
5115577,-20,C
5068844,-21,0
5029314,-24,C
5010681,-6,0
5142490,-34,C
5139549,-31,0
5105143,-41,C
5068453,0,C
5068107,-45,0
5113269,-51,0
5068844,-13,X
5088945,-17,C
5066498,-18,C
5061118,-14,C
5069280,-23,0
5074653,-16,C
5112799,-28,0
5089465,-49,X
5114592,-4,0
5089909,-3,C
5061707,-38,C
5062726,-13,X
5033648,-15,C
5118146,-28,X
5135636,-57,1
5091042,-12,0
5115523,-16,C
5067502,-10,C
5096758,-7,C
5112932,-27,0
5096163,-38,0
5126299,-11,C
5096518,-2,C
5126349,-19,0
5050645,-13,C
5029667,-16,C
5045139,-16,0
5142984,-5,C
5054733,-40,0
5089509,-9,C
5036816,-6,0
5068310,-6,C
5117167,-23,C
5142807,-23,X
5111072,-19,0
5046353,-31,X
5118550,-15,0
5095370,-31,C
5126248,-4,C
5062030,-40,0
5061187,-3,0
5010578,-31,X
5114239,-1,C
5088834,-21,C
5010253,-1,C
5114057,-39,0
5062515,-9,C
5042220,-11,C
5021650,-9,0
5113387,-29,0
5079106,-4,C
5115577,-34,C
5010635,-29,C
5062685,0,0
5142881,-3,0
5089532,-6,C
5050748,-19,0
5114393,-2,C
5033539,-19,C
5024343,-10,C
5033869,-11,0
5091548,-11,0
5054718,-9,C
5091740,-28,0
5048018,-11,C
5062685,-35,0
5091256,-25,X
5105669,-54,X
5135513,-21,C
5062504,-14,C
5105754,-24,0
5068037,-28,0
5062504,-12,C
5089532,-3,C
5149109,-3,C
5069280,0,X
5132464,-18,0
5041363,-35,X
5089268,-3,C
5029314,-49,0
5113269,-45,0
5023398,-20,C
5113731,-13,0
5118256,-11,X
5068261,-15,0
5139549,-12,C
5112651,-8,X
5113869,-23,C
5066498,0,C
5149271,-14,C
5048282,-36,X
5054762,-21,0
5106047,-24,C
5046234,-41,0
5090468,-8,0
5117234,-5,0
5054290,-13,C
5115412,-10,0
5041221,-14,C
5069280,-8,0
5105669,-34,0
5045543,-11,C
5089465,-48,X
5024095,-1,C
5062744,-7,0
5068107,-26,C
5149271,-51,0
5136031,-31,0
5137261,-21,0
5054738,-4,X
5010253,-17,X
5090445,-22,C
5113990,-31,X
5024801,-11,X
5126248,-37,C
5068107,-20,C
5065628,-10,X
5090857,-45,0
5126238,-32,C
5008810,-14,C
5125352,-22,C
5045945,-3,C
5067502,-9,C
5010463,-25,0
5142304,-8,0
5095120,-14,0
5048018,-31,0
5112654,-41,C
5048045,-9,C
5061961,-24,X
5111072,-35,0
5126299,-28,C
5135707,-3,0
5066919,-46,X
5096554,-14,0
5126064,-10,C
5066498,-25,C
5149109,-28,0
5143042,-7,0
5143581,-36,X
5095163,-24,0
5126064,-18,C
5090030,-18,0
5079303,-7,0
5115995,-8,C
5088834,-40,0
5054149,-28,0
5050479,-14,C
5022752,-36,C
5142490,-26,C
5149892,-25,C
5118418,-22,C
5045689,-1,C
5092272,-35,0
5112932,-2,X
5088998,-24,0
5139652,-1,X
5068971,-41,X
5010746,-21,C
5112663,-29,1
5132291,-17,0
5091740,-14,C
5010635,-20,C
5114384,-9,C
5028600,-23,X
5024157,-28,X
5116036,-24,X
5112662,-16,0
5135728,-11,0
5113269,-36,0
5117799,-40,X
5149695,-7,0
5135951,-50,C
5149695,-1,C
5090140,0,C
5022202,-11,C
5022541,-2,0
5112654,-19,C
5095163,-25,0
5137375,-41,0
5118638,-55,X
5095383,-10,C
5037212,-12,C
5105754,-22,0
5132790,-29,0
5090568,-32,C
5115995,-21,C
5053374,-11,C
5024343,-15,0
5067726,-21,0
5029457,-5,0
5033648,-20,C
5062504,-30,X
5135252,-21,0
5091589,-1,C
5065628,-19,X
5054718,-33,0
5089470,-39,X
5029314,-13,C
5126527,-52,0
5045543,-9,C
5089470,-21,0
5053226,-20,C
5089470,-38,X
5010681,-12,0
5061692,-13,0
5069080,-9,0
5118365,-36,0
5105754,-3,C
5078905,-43,C
5089252,-1,C
5142807,-6,X
5036986,-12,X
5132291,-25,0
5094967,-8,C
5047810,-16,C
5066498,-13,C
5139652,-7,X
5023543,-14,0
5045687,-16,0
5091862,-24,X
5089470,-10,C
5118418,-32,C
5023544,-15,X
5068918,-28,C
5094967,-46,X
5061707,-23,C
5142984,-3,C
5022795,-12,C
5111072,-22,0
5046503,-2,C
5068911,-13,0
5142304,-34,0
5010929,-7,0
5068470,-25,C
5113990,-27,X
5126835,-30,X
5010635,-28,C
5115577,-9,C
5068911,-3,C
5033648,-1,C
5145724,-23,C
5061072,-9,0
5149109,-27,0
5090152,-4,C
5137261,-1,C
5068470,-9,C
5113114,-2,C
5115577,-10,C
5067749,-22,0
5142240,-1,0
5047933,-29,X
5024777,-17,1
5089000,-1,C
5089942,-25,0
5118638,-44,X
5117612,-10,X
5024777,-31,1
5047810,-29,X
5054362,-10,C
5126552,-23,0
5117444,-36,C
5090445,-25,C
5090857,-47,0
5099974,-30,C
5136943,-17,0
5041625,-14,X
5143216,-1,0
5010428,0,C
5028494,-7,0
5050479,-16,C
5047933,-16,0
5100228,0,0
5009570,-28,X
5009573,-12,X
5125737,-54,0
5028631,-12,C
5113387,-33,0
5023130,-8,X
5088945,-27,0
5024777,-22,0
5143622,-43,0
5092448,-38,0
5089049,-15,C
5105143,-9,C
5137251,-28,C
5054362,-22,C
5053362,0,C
5053167,-16,0
5116316,-10,C
5142793,0,C
5065740,-11,0
5054362,-14,C
5029667,-52,0
5036485,-51,X
5067557,-17,0
5023130,-6,X
5061148,-5,C
5041625,-18,X
5113252,-35,C
5089470,-34,0
5112932,-26,0
5033722,-32,0
5115711,-4,C
5095228,-3,0
5054733,-23,0
5066775,-12,C
5045493,-8,0
5091862,-33,X
5099948,-42,C
5091256,-2,X
5069392,-26,0
5118083,-4,C
5126527,-43,C
5021642,-9,0
5089421,-30,X
5094967,-14,C
5114429,-12,0
5105554,-9,0
5149272,-2,C
5143042,-6,0
5105669,-16,X
5091256,-29,X
5037212,-32,C
5090568,-43,C
5099778,-16,C
5117799,-6,C
5021701,-43,0
5033722,-25,0
5041721,-8,C
5126062,-3,1
5068899,-45,0
5066775,-4,C
5136943,-4,C
5090445,-29,C
5069004,-24,C
5118418,-6,C
5095730,-7,0
5116623,-15,X
5068844,-10,0
5117919,-7,X
5117612,-11,X
5126325,-13,C
5069455,-5,C
5045493,-5,0
5024801,-24,X
5024095,-34,C
5091052,-21,0
5022795,-3,C
5062685,-34,0
5009031,-8,X
5126527,-53,0
5053362,-14,C
5100228,-1,0
5047933,-19,X
5125217,-15,0
5024158,-8,C
5089018,-6,0
5029073,0,0
5023543,-1,C
5117481,-4,1
5029457,-7,0
5091345,-3,X
5067051,-32,0
5024777,-5,C
5089532,-30,0
5113781,-12,X
5115698,-28,X
5065628,-31,X
5112942,-52,C
5113869,-42,C
5022752,-34,C
5051080,-7,0
5118258,-49,X
5024777,-32,0
5024777,-19,0
5054475,-21,X
5090270,-20,0
5065644,-22,X
5096827,-35,C
5149491,-30,C
5029127,-43,0
5028639,-14,0
5118365,-4,C
5023280,-16,C
5068918,-34,X
5112651,-20,0
5068722,-3,C
5041609,-32,C
5096933,-45,1
5061961,-1,C
5010428,-33,0
5090032,-2,0
5118177,-6,0
5046497,-30,0
5095790,-36,C
5099974,-44,C
5053374,-22,C
5142910,-26,0
5062030,-31,0
5112654,-49,0
5089268,-7,C
5126303,-13,C
5045640,-34,0
5048045,-20,C
5115523,-41,0
5065693,-11,1
5061707,-51,0
5021642,-4,0
5033539,-5,C
5105056,-12,C
5137251,-1,C
5052732,-13,0
5117178,-20,X
5065348,-34,C
5069004,-21,C
5062515,-17,0
5022583,-12,C
5010578,-24,X
5096346,-29,C
5095570,-28,0
5054290,-44,0
5068470,-20,C
5118146,-15,X
5022583,-47,0
5096238,-17,C
5058414,-11,0
5117167,-34,C
5118638,-52,X
5092272,-52,0
5126325,-30,0
5142807,-20,X
5117799,-25,C
5050645,-20,C
5115577,-24,C
5089532,-13,C
5142807,-2,X
5050748,-9,C
5061961,-7,C
5114057,-24,C
5091862,-37,0
5053226,-26,C
5142490,-24,C
5096163,-29,0
5061118,-8,C
5143622,-48,0
5009570,-40,X
5115711,-24,0
5126382,-23,C
5042220,-5,C
5090270,-16,0
5117612,-3,X
5135691,-2,1
5036485,-1,X
5045624,-8,0
5053374,-43,0
5029314,-34,C
5089647,-16,0
5056236,-32,0
5041609,-41,0
5022583,0,C
5135636,-50,5
5105702,-4,X
5045695,-15,C
5047820,-36,0
5054362,-29,C
5045945,-1,C
5042300,-8,0
5042295,-40,0
5118418,-9,C
5067557,-35,0
5028631,-16,C
5096827,-18,C
5091042,-8,0
5126552,-28,X
5065348,-52,X
5042020,-7,0
5132464,-13,0
5010463,-8,C
5095790,-30,C
5118261,-9,C
5112799,-26,0
5090568,-46,C
5090857,-13,C
5090568,-11,C
5036733,-24,C
5024095,-43,0
5066919,-49,X
5095570,-9,0
5069455,-12,0
5024484,-14,C
5090468,-1,1
5089000,-28,C
5066705,-24,C
5058414,-6,C
5095120,-11,X
5099948,-43,C
5115451,-20,C
5008810,-25,X
5066775,-22,C
5095120,-15,0
5009573,-2,X
5092448,-51,0
5149636,-13,X
5142984,-7,C
5089509,-40,0
5053167,-27,0
5029127,-13,C
5053226,-6,C
5033648,-24,C
5066775,-17,C
5113990,-10,X
5089819,-13,0
5113114,-5,C
5062504,-6,C
5045139,-19,0
5089552,-3,0
5142807,0,X
5104853,-2,0
5089623,-24,1
5067169,-11,C
5089000,-21,C
5068911,-4,C
5010578,-2,0
5115523,-15,C
5054749,-5,C
5078905,-33,C
5089509,-38,0
5139548,-2,C
5126303,-30,C
5111072,-5,C
5042020,0,X
5142490,-33,C
5126248,-33,C
5095570,0,C
5023398,-24,0
5094967,-56,X
5149705,-30,C
5143581,-38,X
5078817,-3,0
5096758,-1,C
5142304,-32,0
5135513,-41,0
5105143,-48,0
5089909,-15,C
5089018,0,0
5116316,-2,C
5010463,-5,C
5078905,-30,C
5023543,-16,0
5136943,-11,C
5050645,-6,C
5048045,-35,0
5139500,-16,0
5068037,-9,C
5056236,-30,0
5126248,-43,0
5029127,-4,C
5023543,0,C
5116036,-18,4
5054733,-31,0
5142984,-23,0
5045139,-14,0
5047820,-40,0
5096346,-9,C
5113869,-11,C
5125218,-12,C
5126349,-25,1
5137261,-2,C
5079068,-23,X
5112654,-30,C
5096827,-6,C
5068107,-22,C
5090857,-32,C
5115451,-32,C
5092272,-45,0
5069004,-33,0
5053374,-3,C
5099948,-20,C
5143603,-6,C
5112932,-23,0
5028251,-35,0
5116623,-38,X
5036733,-25,C
5041221,-11,C
5111072,-18,1
5042052,-11,0
5010681,0,0
5025793,-2,0
5096163,-2,C
5068911,-18,0
5038751,-49,0
5142793,-2,C
5029633,-19,C
5010929,-8,0
5115995,-20,C
5061961,-18,X
5067021,-18,C
5033722,-23,0
5090152,-20,C
5024343,0,C
5041221,-2,C
5111072,-13,C
5090568,-40,C
5105762,-10,C
5142984,-10,C
5091740,-18,C
5097026,-39,0
5010463,-6,C
5022859,-23,C
5143137,-23,1
5053226,-12,C
5117234,-2,C
5132415,-15,0
5149491,-9,C
5035995,-45,0
5089509,-24,C
5125352,-40,0
5126835,-47,X
5029667,-21,C
5143064,-45,C
5024777,-29,1
5067021,-17,C
5137251,-32,C
