APP_ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
6252605,F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Married,House / apartment,-12448,-1129,1,0,1,0,High skill tech staff,2.0
5978398,F,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-19932,-965,1,0,0,0,Sales staff,2.0
5618780,F,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12445,-4653,1,0,1,1,High skill tech staff,2.0
6291580,F,N,Y,0,540000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21162,365243,1,0,0,0,,2.0
5466509,M,N,Y,0,270000.0,Commercial associate,Higher education,Married,House / apartment,-17277,-4507,1,0,0,0,Managers,2.0
6492457,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-8146,-292,1,0,0,0,Core staff,2.0
5477264,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16192,-2075,1,0,0,0,,2.0
5236608,F,N,N,0,99000.0,Working,Secondary / secondary special,Separated,House / apartment,-18759,-919,1,1,1,0,Laborers,1.0
6754584,F,N,Y,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-15738,-3660,1,1,0,0,Laborers,1.0
6820611,F,Y,Y,0,135000.0,State servant,Higher education,Married,House / apartment,-10588,-840,1,0,0,0,Drivers,2.0
6492179,M,Y,N,1,450000.0,Working,Secondary / secondary special,Married,With parents,-13031,-1842,1,0,0,0,Drivers,3.0
5024696,F,N,Y,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-19032,-3776,1,0,0,0,Laborers,1.0
5224414,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23052,365243,1,0,1,0,,2.0
6209149,M,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-20218,-136,1,0,1,0,,2.0
6177904,F,N,Y,0,202500.0,Pensioner,Higher education,Married,House / apartment,-22246,365243,1,0,0,0,,2.0
6636165,F,Y,Y,2,315000.0,State servant,Higher education,Married,House / apartment,-11993,-2097,1,1,1,0,Managers,4.0
6108412,F,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-15675,-1147,1,0,0,0,Core staff,2.0
5095937,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-17340,-3596,1,0,1,0,Managers,2.0
6798238,M,Y,Y,0,108000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22669,365243,1,0,0,0,,2.0
6050563,F,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,Rented apartment,-18014,-3527,1,0,0,0,,2.0
6108253,F,Y,N,1,315000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-16238,-6352,1,0,0,0,Core staff,2.0
5537682,F,N,N,0,211500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13922,-1300,1,0,1,0,Sales staff,2.0
6184795,F,N,Y,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9896,-1586,1,0,1,0,Laborers,3.0
5242251,F,N,Y,1,180000.0,State servant,Higher education,Married,House / apartment,-20418,-9009,1,0,1,0,Core staff,3.0
5996636,M,Y,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-8981,-1858,1,0,1,1,Core staff,2.0
5627401,M,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-11752,-3778,1,0,1,1,Core staff,3.0
5957041,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-16943,-2865,1,0,1,0,Low-skill Laborers,1.0
6128475,F,N,Y,0,121500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22187,365243,1,0,1,0,,1.0
5156023,F,Y,N,0,63000.0,Pensioner,Higher education,Married,House / apartment,-21347,365243,1,0,0,0,,2.0
5736278,M,N,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-18914,-2705,1,1,0,0,Laborers,2.0
5609488,F,N,Y,0,171000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23304,-3202,1,0,1,1,,1.0
5785145,F,N,Y,0,247500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-18959,-224,1,0,0,0,Sales staff,2.0
6358005,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22677,365243,1,0,0,0,,2.0
6231895,F,N,N,0,202500.0,Working,Secondary / secondary special,Widow,House / apartment,-20684,-2291,1,0,1,0,HR staff,1.0
6704417,F,N,Y,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,-13911,-146,1,1,1,0,Laborers,2.0
6037597,M,N,Y,0,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13337,-2484,1,0,1,0,Laborers,2.0
6577374,F,N,Y,0,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15003,-6183,1,0,0,0,Sales staff,2.0
6631489,F,N,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,-19430,365243,1,0,0,0,,2.0
6641051,F,N,Y,0,139500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14795,-1321,1,0,1,0,High skill tech staff,2.0
6297187,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22143,-236,1,0,0,0,Core staff,2.0
6294147,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16801,-2690,1,0,0,0,Managers,2.0
5105554,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19802,-4532,1,0,0,0,Laborers,2.0
6637732,F,N,N,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-16679,-5901,1,1,0,0,Accountants,3.0
5628170,F,N,N,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23403,365243,1,0,1,0,,2.0
5271109,F,Y,Y,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,-13754,-887,1,0,0,0,,3.0
6424672,M,Y,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-9877,-604,1,1,1,0,Core staff,2.0
5462799,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,Municipal apartment,-17334,-5832,1,0,0,0,,2.0
5726916,F,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14037,-1133,1,1,1,0,Sales staff,3.0
5945048,F,N,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-20410,-4812,1,0,0,0,Core staff,1.0
6659019,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-19942,-1825,1,0,1,0,Security staff,2.0
6304022,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-18270,-916,1,0,0,0,Sales staff,2.0
5196829,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15077,-3761,1,1,1,0,Managers,1.0
5353160,M,N,N,0,58500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23142,365243,1,0,1,0,,2.0
6412316,F,N,Y,0,65250.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20381,365243,1,0,0,0,,2.0
5602856,M,Y,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-15642,-916,1,1,1,0,Drivers,2.0
5627606,F,Y,Y,0,405000.0,Commercial associate,Higher education,Married,House / apartment,-15720,-917,1,0,0,0,Sales staff,2.0
5089431,F,N,N,0,171000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23768,365243,1,0,0,0,,1.0
6723507,F,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-19669,-835,1,0,0,0,Sales staff,2.0
6098722,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22277,365243,1,0,0,0,,1.0
6111196,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16076,-4235,1,0,1,0,,2.0
5898943,F,N,Y,0,126000.0,Working,Higher education,Married,House / apartment,-8954,-877,1,1,1,0,Managers,2.0
6125850,F,N,Y,0,206100.0,State servant,Higher education,Single / not married,Municipal apartment,-20050,-4942,1,0,0,0,Managers,1.0
5298045,F,N,Y,0,117000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20872,365243,1,0,0,0,,2.0
7092466,F,N,Y,0,121500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-20924,365243,1,0,0,0,,1.0
7480103,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16101,-5442,1,0,0,0,Laborers,1.0
5678581,F,Y,Y,1,130500.0,Working,Secondary / secondary special,Married,House / apartment,-11170,-976,1,0,0,0,Core staff,3.0
5965316,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Widow,House / apartment,-15080,-2889,1,0,0,0,Core staff,1.0
5135965,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-23255,365243,1,0,0,0,,2.0
5891075,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22921,365243,1,0,0,0,,1.0
6685405,F,N,Y,1,261000.0,Working,Secondary / secondary special,Separated,House / apartment,-14472,-6386,1,0,0,0,Laborers,2.0
6152702,F,Y,Y,0,175500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18925,365243,1,0,0,0,,2.0
6728007,F,N,N,1,81000.0,Working,Secondary / secondary special,Married,House / apartment,-13429,-1909,1,0,0,0,,3.0
6063326,F,Y,Y,0,220500.0,Working,Higher education,Civil marriage,Office apartment,-17768,-550,1,0,0,0,Laborers,2.0
6208983,M,Y,Y,0,405000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18210,-3028,1,0,0,0,Laborers,1.0
6798587,F,N,N,0,108000.0,Working,Secondary / secondary special,Married,House / apartment,-17728,-1378,1,1,0,0,,2.0
6127808,F,N,Y,3,112500.0,Working,Secondary / secondary special,Married,House / apartment,-15092,-2512,1,0,1,0,Core staff,5.0
6023425,F,N,N,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-15709,-1761,1,0,0,0,Sales staff,3.0
6362527,F,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10345,-1548,1,1,1,0,,3.0
5996585,M,N,Y,1,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15239,-915,1,0,1,1,Core staff,2.0
6485837,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-12416,-2914,1,0,0,0,Core staff,4.0
5136956,F,N,N,2,225000.0,Working,Higher education,Single / not married,House / apartment,-12930,-5952,1,1,0,0,Medicine staff,3.0
5439638,M,Y,N,2,202500.0,Commercial associate,Higher education,Married,House / apartment,-10783,-116,1,1,0,0,Laborers,4.0
5213063,F,N,N,0,225000.0,State servant,Higher education,Married,House / apartment,-8575,-1174,1,1,1,0,High skill tech staff,2.0
5036567,F,N,N,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13817,-2215,1,0,1,0,Laborers,2.0
5824399,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-15547,-2029,1,1,0,0,High skill tech staff,2.0
5223334,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22272,365243,1,0,0,0,,1.0
5023543,F,N,Y,0,90000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-15945,-3673,1,1,1,0,Core staff,2.0
6233116,F,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16202,-167,1,1,1,0,Sales staff,2.0
5344857,M,Y,Y,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-9707,-2736,1,1,1,1,Laborers,3.0
6140415,F,N,Y,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-12285,-3347,1,0,1,0,Sales staff,2.0
6639760,F,Y,Y,0,256500.0,State servant,Higher education,Married,House / apartment,-14212,-3330,1,0,0,0,Managers,2.0
6144623,F,N,N,0,90000.0,Working,Higher education,Separated,House / apartment,-18729,-7130,1,1,0,0,High skill tech staff,1.0
6230620,F,Y,Y,0,216000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12238,-430,1,1,0,0,Sales staff,1.0
6037925,F,N,N,0,81000.0,State servant,Secondary / secondary special,Married,Municipal apartment,-20042,-5314,1,1,1,0,,2.0
6617760,M,N,Y,0,207000.0,Working,Secondary / secondary special,Married,House / apartment,-19895,-5567,1,0,0,0,Laborers,2.0
5710157,F,N,N,0,112500.0,State servant,Higher education,Married,House / apartment,-12349,-1386,1,1,1,0,Managers,2.0
5742462,F,Y,Y,3,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13464,-3095,1,0,0,0,Managers,5.0
5976241,F,N,Y,0,81000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10778,-2209,1,0,0,0,Core staff,2.0
6184912,F,Y,Y,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,-15331,-2529,1,0,1,1,Core staff,1.0
6793784,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-16992,-10217,1,0,1,0,Laborers,2.0
5834369,M,N,N,0,238500.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-9401,-871,1,1,0,0,,2.0
6107383,M,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-19761,-2578,1,0,0,0,Laborers,2.0
5408979,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22735,365243,1,0,0,0,,1.0
6622684,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16200,-1718,1,0,0,0,Managers,2.0
6090911,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23544,365243,1,0,0,0,,1.0
7366675,M,N,N,0,166500.0,Working,Incomplete higher,Separated,With parents,-11303,-444,1,0,0,0,,1.0
7115391,M,N,N,2,67500.0,Working,Secondary / secondary special,Separated,House / apartment,-14392,-917,1,1,1,0,Laborers,3.0
6540195,F,N,Y,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22300,365243,1,0,0,0,,2.0
5771543,M,Y,N,0,261000.0,State servant,Higher education,Single / not married,House / apartment,-12732,-3064,1,0,0,0,Drivers,1.0
6601518,F,Y,Y,1,126000.0,Working,Secondary / secondary special,Married,House / apartment,-12563,-330,1,1,1,0,Core staff,3.0
6290125,M,Y,Y,0,247500.0,Working,Higher education,Married,House / apartment,-9839,-2103,1,1,0,0,Laborers,2.0
6268616,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10536,-1251,1,0,0,0,,2.0
5406332,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16818,-4425,1,0,0,0,Laborers,2.0
5769206,F,N,Y,0,157500.0,Working,Secondary / secondary special,Widow,House / apartment,-18050,-3254,1,1,1,0,Sales staff,1.0
6781150,F,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,-17966,-3149,1,1,0,0,,2.0
5996670,F,N,Y,0,193500.0,Pensioner,Higher education,Separated,House / apartment,-21155,365243,1,0,0,0,,1.0
6032382,F,N,N,0,117949.5,Working,Secondary / secondary special,Single / not married,House / apartment,-22983,-2835,1,0,1,0,High skill tech staff,1.0
5995762,F,Y,N,0,90000.0,Commercial associate,Higher education,Married,House / apartment,-10598,-2632,1,1,0,0,High skill tech staff,2.0
5270392,M,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-10020,-2286,1,0,0,0,Laborers,1.0
5223787,M,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12803,-4297,1,0,1,0,Drivers,1.0
6063082,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23356,365243,1,0,0,0,,1.0
5785168,M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14701,-1162,1,0,0,0,Laborers,3.0
5833725,F,N,N,1,180000.0,Commercial associate,Higher education,Married,House / apartment,-8526,-961,1,0,0,1,Core staff,3.0
5787945,F,Y,N,0,382500.0,Commercial associate,Higher education,Single / not married,House / apartment,-15297,-885,1,1,1,1,Managers,1.0
5143622,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15922,-2086,1,0,0,0,Sales staff,2.0
5822472,F,N,Y,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,-18839,-568,1,0,0,0,,2.0
5028757,F,Y,N,1,337500.0,Working,Higher education,Married,House / apartment,-10542,-2607,1,0,0,0,,3.0
5873598,M,N,N,1,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14385,-3519,1,0,0,0,Laborers,3.0
7062565,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22620,365243,1,0,1,0,,2.0
6144395,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14893,-2604,1,0,0,0,Laborers,2.0
5987508,F,Y,Y,0,328500.0,Working,Higher education,Separated,House / apartment,-20562,-3274,1,0,0,0,Accountants,1.0
5115501,M,Y,Y,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16084,-1382,1,0,0,0,Laborers,4.0
6448440,F,N,Y,0,319500.0,Working,Secondary / secondary special,Widow,Municipal apartment,-20171,-7154,1,1,1,1,,1.0
6569038,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-20831,-1491,1,0,0,0,Drivers,2.0
5104930,M,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21118,365243,1,0,0,0,,2.0
6119137,F,Y,Y,0,189000.0,Commercial associate,Higher education,Married,House / apartment,-16098,-2629,1,0,1,0,High skill tech staff,2.0
6603636,M,Y,N,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13838,-674,1,1,1,0,Laborers,2.0
6584141,F,Y,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11220,-1534,1,0,0,0,Managers,3.0
5731872,M,N,Y,0,67500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14582,-2016,1,0,0,0,Drivers,2.0
5890348,F,N,Y,0,157500.0,State servant,Secondary / secondary special,Widow,House / apartment,-22486,-1115,1,0,1,0,Cleaning staff,1.0
5632763,M,N,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13932,-2616,1,1,0,0,Laborers,4.0
5243784,F,N,N,0,189000.0,Working,Higher education,Married,House / apartment,-12406,-1671,1,1,1,0,Core staff,2.0
6124225,F,Y,Y,1,117000.0,Working,Secondary / secondary special,Married,House / apartment,-13950,-4955,1,0,0,1,,3.0
6208572,F,N,Y,0,217350.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,-23218,365243,1,0,1,0,,1.0
5727943,F,N,N,0,202500.0,Pensioner,Higher education,Married,House / apartment,-21167,365243,1,0,1,0,,2.0
6785908,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-21424,-685,1,0,0,0,Cleaning staff,1.0
6469408,F,N,Y,0,225000.0,Commercial associate,Higher education,Separated,House / apartment,-20686,-5926,1,0,0,0,,1.0
6416163,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-23092,365243,1,0,0,0,,2.0
6008805,M,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-19462,-430,1,1,1,0,Accountants,2.0
6411950,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10099,-321,1,0,0,0,Drivers,2.0
6091598,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-20356,-11517,1,1,1,0,Core staff,2.0
5067990,F,Y,N,2,315000.0,Working,Secondary / secondary special,Married,Rented apartment,-12209,-840,1,0,1,1,,4.0
5628178,F,Y,N,3,135000.0,Working,Secondary / secondary special,Married,House / apartment,-12733,-2806,1,0,1,0,Sales staff,5.0
6031776,M,N,Y,1,382500.0,Working,Secondary / secondary special,Married,House / apartment,-12791,-460,1,0,0,0,,3.0
5036452,F,N,Y,0,81000.0,Working,Higher education,Married,House / apartment,-11546,-1498,1,0,0,0,,2.0
6212392,F,N,Y,1,67500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15899,-1796,1,1,1,0,Cooking staff,3.0
6670389,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17235,-782,1,0,0,0,,2.0
5053362,F,N,Y,0,238500.0,Working,Higher education,Married,House / apartment,-20517,-2971,1,1,1,0,Sales staff,2.0
5692061,F,N,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-17705,-4400,1,0,0,0,Core staff,2.0
6089762,M,N,N,0,288000.0,Working,Higher education,Married,With parents,-10315,-1546,1,0,0,0,Core staff,2.0
6783448,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-10327,-1796,1,0,0,1,Sales staff,4.0
5833273,F,Y,N,0,270000.0,Pensioner,Secondary / secondary special,Separated,Municipal apartment,-20664,365243,1,0,1,0,,1.0
5025063,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11714,-672,1,0,0,0,,1.0
6669887,M,Y,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23180,365243,1,0,0,0,,2.0
6007093,F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12009,-591,1,0,0,1,Waiters/barmen staff,2.0
5565272,F,N,Y,0,108000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21852,365243,1,0,1,0,,1.0
5046351,M,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16224,-2574,1,0,0,0,Security staff,2.0
5628856,F,N,Y,1,234000.0,State servant,Higher education,Married,House / apartment,-17820,-6427,1,0,0,1,Managers,3.0
5385131,F,Y,Y,0,270000.0,Commercial associate,Higher education,Married,House / apartment,-15232,-4781,1,1,0,0,Core staff,2.0
